# radius(km)    Ye
0.000000e+00 2.500000e-01
1.000200e-01 2.500000e-01
2.000400e-01 2.500000e-01
3.000600e-01 2.499999e-01
4.000800e-01 2.499999e-01
5.001000e-01 2.499999e-01
6.001200e-01 2.499998e-01
7.001400e-01 2.499998e-01
8.001600e-01 2.499996e-01
9.001800e-01 2.499995e-01
1.000200e+00 2.499993e-01
1.100220e+00 2.499990e-01
1.200240e+00 2.499986e-01
1.300260e+00 2.499980e-01
1.400280e+00 2.499972e-01
1.500300e+00 2.499961e-01
1.600320e+00 2.499946e-01
1.700340e+00 2.499926e-01
1.800360e+00 2.499899e-01
1.900380e+00 2.499863e-01
2.000400e+00 2.499815e-01
2.100420e+00 2.499750e-01
2.200440e+00 2.499666e-01
2.300460e+00 2.499554e-01
2.400480e+00 2.499409e-01
2.500500e+00 2.499220e-01
2.600520e+00 2.498975e-01
2.700540e+00 2.498661e-01
2.800560e+00 2.498259e-01
2.900580e+00 2.497747e-01
3.000600e+00 2.497100e-01
3.100620e+00 2.496286e-01
3.200640e+00 2.495266e-01
3.300660e+00 2.493997e-01
3.400680e+00 2.492426e-01
3.500700e+00 2.490490e-01
3.600720e+00 2.488121e-01
3.700740e+00 2.485234e-01
3.800760e+00 2.481738e-01
3.900780e+00 2.477527e-01
4.000800e+00 2.472483e-01
4.100820e+00 2.466474e-01
4.200840e+00 2.459357e-01
4.300860e+00 2.450976e-01
4.400880e+00 2.441161e-01
4.500900e+00 2.429733e-01
4.600920e+00 2.416505e-01
4.700940e+00 2.401282e-01
4.800960e+00 2.383865e-01
4.900980e+00 2.364056e-01
5.001000e+00 2.341664e-01
5.101020e+00 2.316503e-01
5.201040e+00 2.288405e-01
5.301060e+00 2.257221e-01
5.401080e+00 2.222832e-01
5.501100e+00 2.185150e-01
5.601120e+00 2.144130e-01
5.701140e+00 2.099773e-01
5.801160e+00 2.052133e-01
5.901180e+00 2.001323e-01
6.001200e+00 1.947518e-01
6.101220e+00 1.890963e-01
6.201240e+00 1.831968e-01
6.301260e+00 1.770914e-01
6.401280e+00 1.708251e-01
6.501300e+00 1.644492e-01
6.601320e+00 1.580211e-01
6.701340e+00 1.516034e-01
6.801360e+00 1.452632e-01
6.901380e+00 1.390706e-01
7.001400e+00 1.330981e-01
7.101420e+00 1.274188e-01
7.201440e+00 1.221048e-01
7.301460e+00 1.172263e-01
7.401480e+00 1.128495e-01
7.501500e+00 1.090353e-01
7.601520e+00 1.058378e-01
7.701540e+00 1.033035e-01
7.801560e+00 1.014694e-01
7.901580e+00 1.003628e-01
8.001600e+00 1.000000e-01
8.101620e+00 1.000000e-01
8.201640e+00 1.000000e-01
8.301660e+00 1.000000e-01
8.401680e+00 1.000000e-01
8.501700e+00 1.000000e-01
8.601720e+00 1.000000e-01
8.701740e+00 1.000000e-01
8.801760e+00 1.000000e-01
8.901780e+00 1.000000e-01
9.001800e+00 1.000000e-01
9.101820e+00 1.000000e-01
9.201840e+00 1.000000e-01
9.301860e+00 1.000000e-01
9.401880e+00 1.000000e-01
9.501900e+00 1.000000e-01
9.601920e+00 1.000000e-01
9.701940e+00 1.000000e-01
9.801960e+00 1.000000e-01
9.901980e+00 1.000000e-01
1.000200e+01 1.000000e-01
1.010202e+01 1.000000e-01
1.020204e+01 1.000000e-01
1.030206e+01 1.000000e-01
1.040208e+01 1.000000e-01
1.050210e+01 1.000000e-01
1.060212e+01 1.000000e-01
1.070214e+01 1.000000e-01
1.080216e+01 1.000000e-01
1.090218e+01 1.000000e-01
1.100220e+01 1.000000e-01
1.110222e+01 1.000000e-01
1.120224e+01 1.000000e-01
1.130226e+01 1.000000e-01
1.140228e+01 1.000000e-01
1.150230e+01 1.000000e-01
1.160232e+01 1.000000e-01
1.170234e+01 1.000000e-01
1.180236e+01 1.000000e-01
1.190238e+01 1.000000e-01
1.200240e+01 1.000000e-01
1.210242e+01 1.000000e-01
1.220244e+01 1.000000e-01
1.230246e+01 1.000000e-01
1.240248e+01 1.000000e-01
1.250250e+01 1.000000e-01
1.260252e+01 1.000000e-01
1.270254e+01 1.000000e-01
1.280256e+01 1.000000e-01
1.290258e+01 1.000000e-01
1.300260e+01 1.000000e-01
1.310262e+01 1.000000e-01
1.320264e+01 1.000000e-01
1.330266e+01 1.000000e-01
1.340268e+01 1.000000e-01
1.350270e+01 1.000000e-01
1.360272e+01 1.000000e-01
1.370274e+01 1.000000e-01
1.380276e+01 1.000000e-01
1.390278e+01 1.000000e-01
1.400280e+01 1.000000e-01
1.410282e+01 1.000000e-01
1.420284e+01 1.000000e-01
1.430286e+01 1.000000e-01
1.440288e+01 1.000000e-01
1.450290e+01 1.000000e-01
1.460292e+01 1.000000e-01
1.470294e+01 1.000000e-01
1.480296e+01 1.000000e-01
1.490298e+01 1.000000e-01
1.500300e+01 1.000000e-01
1.510302e+01 1.000000e-01
1.520304e+01 1.000001e-01
1.530306e+01 1.000001e-01
1.540308e+01 1.000001e-01
1.550310e+01 1.000002e-01
1.560312e+01 1.000002e-01
1.570314e+01 1.000003e-01
1.580316e+01 1.000004e-01
1.590318e+01 1.000005e-01
1.600320e+01 1.000007e-01
1.610322e+01 1.000009e-01
1.620324e+01 1.000013e-01
1.630326e+01 1.000017e-01
1.640328e+01 1.000022e-01
1.650330e+01 1.000029e-01
1.660332e+01 1.000038e-01
1.670334e+01 1.000049e-01
1.680336e+01 1.000064e-01
1.690338e+01 1.000084e-01
1.700340e+01 1.000108e-01
1.710342e+01 1.000139e-01
1.720344e+01 1.000179e-01
1.730346e+01 1.000230e-01
1.740348e+01 1.000293e-01
1.750350e+01 1.000373e-01
1.760352e+01 1.000474e-01
1.770354e+01 1.000599e-01
1.780356e+01 1.000756e-01
1.790358e+01 1.000950e-01
1.800360e+01 1.001191e-01
1.810362e+01 1.001487e-01
1.820364e+01 1.001851e-01
1.830366e+01 1.002297e-01
1.840368e+01 1.002842e-01
1.850370e+01 1.003505e-01
1.860372e+01 1.004308e-01
1.870374e+01 1.005278e-01
1.880376e+01 1.006446e-01
1.890378e+01 1.007847e-01
1.900380e+01 1.009523e-01
1.910382e+01 1.011519e-01
1.920384e+01 1.013889e-01
1.930386e+01 1.016693e-01
1.940388e+01 1.020000e-01
1.950390e+01 1.023885e-01
1.960392e+01 1.028433e-01
1.970394e+01 1.033739e-01
1.980396e+01 1.039907e-01
1.990398e+01 1.047052e-01
2.000400e+01 1.055300e-01
2.010402e+01 1.064785e-01
2.020404e+01 1.075654e-01
2.030406e+01 1.088065e-01
2.040408e+01 1.102184e-01
2.050410e+01 1.118187e-01
2.060412e+01 1.136260e-01
2.070414e+01 1.156595e-01
2.080416e+01 1.179389e-01
