# radius(km)    lapse
0.000000e+00 7.210333e-01
1.002004e+00 7.225231e-01
2.004008e+00 7.265983e-01
3.006012e+00 7.327224e-01
4.008016e+00 7.404282e-01
5.010020e+00 7.493218e-01
6.012024e+00 7.590699e-01
7.014028e+00 7.694026e-01
8.016032e+00 7.800968e-01
9.018036e+00 7.909761e-01
1.002004e+01 8.018986e-01
1.102204e+01 8.127534e-01
1.202405e+01 8.234556e-01
1.302605e+01 8.339509e-01
1.402806e+01 8.441580e-01
1.503006e+01 8.540785e-01
1.603206e+01 8.635465e-01
1.703407e+01 8.722031e-01
1.803607e+01 8.799646e-01
1.903808e+01 8.869066e-01
2.004008e+01 8.931228e-01
2.104208e+01 8.987191e-01
2.204409e+01 9.037789e-01
2.304609e+01 9.083753e-01
2.404810e+01 9.125684e-01
2.505010e+01 9.164091e-01
2.605210e+01 9.199404e-01
2.705411e+01 9.231981e-01
2.805611e+01 9.262130e-01
2.905812e+01 9.290109e-01
3.006012e+01 9.316149e-01
3.106212e+01 9.340445e-01
3.206413e+01 9.363164e-01
3.306613e+01 9.384455e-01
3.406814e+01 9.404451e-01
3.507014e+01 9.423266e-01
3.607214e+01 9.441001e-01
3.707415e+01 9.457749e-01
3.807615e+01 9.473584e-01
3.907816e+01 9.488585e-01
4.008016e+01 9.502814e-01
4.108216e+01 9.516329e-01
4.208417e+01 9.529184e-01
4.308617e+01 9.541424e-01
4.408818e+01 9.553093e-01
4.509018e+01 9.564229e-01
4.609218e+01 9.574871e-01
4.709419e+01 9.585048e-01
4.809619e+01 9.594792e-01
4.909820e+01 9.604127e-01
5.010020e+01 9.613082e-01
5.110220e+01 9.621676e-01
5.210421e+01 9.629934e-01
5.310621e+01 9.637874e-01
5.410822e+01 9.645514e-01
5.511022e+01 9.652868e-01
5.611222e+01 9.659957e-01
5.711423e+01 9.666795e-01
5.811623e+01 9.673385e-01
5.911824e+01 9.679750e-01
6.012024e+01 9.685900e-01
6.112224e+01 9.691845e-01
6.212425e+01 9.697595e-01
6.312625e+01 9.703158e-01
6.412826e+01 9.708545e-01
6.513026e+01 9.713764e-01
6.613226e+01 9.718822e-01
6.713427e+01 9.723725e-01
6.813627e+01 9.728483e-01
6.913828e+01 9.733100e-01
7.014028e+01 9.737584e-01
7.114228e+01 9.741939e-01
7.214429e+01 9.746169e-01
7.314629e+01 9.750285e-01
7.414830e+01 9.754286e-01
7.515030e+01 9.758180e-01
7.615230e+01 9.761970e-01
7.715431e+01 9.765660e-01
7.815631e+01 9.769254e-01
7.915832e+01 9.772756e-01
8.016032e+01 9.776168e-01
8.116232e+01 9.779496e-01
8.216433e+01 9.782741e-01
8.316633e+01 9.785907e-01
8.416834e+01 9.788996e-01
8.517034e+01 9.792012e-01
8.617234e+01 9.794957e-01
8.717435e+01 9.797834e-01
8.817635e+01 9.800644e-01
8.917836e+01 9.803390e-01
9.018036e+01 9.806074e-01
9.118236e+01 9.808700e-01
9.218437e+01 9.811268e-01
9.318637e+01 9.813778e-01
9.418838e+01 9.816235e-01
9.519038e+01 9.818640e-01
9.619238e+01 9.820994e-01
9.719439e+01 9.823299e-01
9.819639e+01 9.825557e-01
9.919840e+01 9.827768e-01
1.002004e+02 9.829935e-01
1.012024e+02 9.832058e-01
1.022044e+02 9.834140e-01
1.032064e+02 9.836180e-01
1.042084e+02 9.838181e-01
1.052104e+02 9.840143e-01
1.062124e+02 9.842069e-01
1.072144e+02 9.843958e-01
1.082164e+02 9.845810e-01
1.092184e+02 9.847629e-01
1.102204e+02 9.849415e-01
1.112224e+02 9.851168e-01
1.122244e+02 9.852890e-01
1.132265e+02 9.854580e-01
1.142285e+02 9.856241e-01
1.152305e+02 9.857872e-01
1.162325e+02 9.859476e-01
1.172345e+02 9.861053e-01
1.182365e+02 9.862600e-01
1.192385e+02 9.864123e-01
1.202405e+02 9.865619e-01
1.212425e+02 9.867091e-01
1.222445e+02 9.868539e-01
1.232465e+02 9.869962e-01
1.242485e+02 9.871363e-01
1.252505e+02 9.872741e-01
1.262525e+02 9.874097e-01
1.272545e+02 9.875431e-01
1.282565e+02 9.876745e-01
1.292585e+02 9.878037e-01
1.302605e+02 9.879310e-01
1.312625e+02 9.880563e-01
1.322645e+02 9.881797e-01
1.332665e+02 9.883013e-01
1.342685e+02 9.884210e-01
1.352705e+02 9.885389e-01
1.362725e+02 9.886551e-01
1.372745e+02 9.887695e-01
1.382766e+02 9.888823e-01
1.392786e+02 9.889935e-01
1.402806e+02 9.891030e-01
1.412826e+02 9.892110e-01
1.422846e+02 9.893175e-01
1.432866e+02 9.894225e-01
1.442886e+02 9.895259e-01
1.452906e+02 9.896280e-01
1.462926e+02 9.897286e-01
1.472946e+02 9.898279e-01
1.482966e+02 9.899258e-01
1.492986e+02 9.900224e-01
1.503006e+02 9.901177e-01
1.513026e+02 9.902117e-01
1.523046e+02 9.903045e-01
1.533066e+02 9.903961e-01
1.543086e+02 9.904864e-01
1.553106e+02 9.905756e-01
1.563126e+02 9.906636e-01
1.573146e+02 9.907506e-01
1.583166e+02 9.908364e-01
1.593186e+02 9.909210e-01
1.603206e+02 9.910047e-01
1.613226e+02 9.910873e-01
1.623246e+02 9.911689e-01
1.633267e+02 9.912494e-01
1.643287e+02 9.913290e-01
1.653307e+02 9.914076e-01
1.663327e+02 9.914853e-01
1.673347e+02 9.915619e-01
1.683367e+02 9.916378e-01
1.693387e+02 9.917127e-01
1.703407e+02 9.917867e-01
1.713427e+02 9.918598e-01
1.723447e+02 9.919322e-01
1.733467e+02 9.920035e-01
1.743487e+02 9.920742e-01
1.753507e+02 9.921440e-01
1.763527e+02 9.922130e-01
1.773547e+02 9.922812e-01
1.783567e+02 9.923487e-01
1.793587e+02 9.924153e-01
1.803607e+02 9.924813e-01
1.813627e+02 9.925465e-01
1.823647e+02 9.926110e-01
1.833667e+02 9.926748e-01
1.843687e+02 9.927379e-01
1.853707e+02 9.928003e-01
1.863727e+02 9.928620e-01
1.873747e+02 9.929231e-01
1.883768e+02 9.929835e-01
1.893788e+02 9.930432e-01
1.903808e+02 9.931024e-01
1.913828e+02 9.931609e-01
1.923848e+02 9.932188e-01
1.933868e+02 9.932761e-01
1.943888e+02 9.933328e-01
1.953908e+02 9.933889e-01
1.963928e+02 9.934444e-01
1.973948e+02 9.934994e-01
1.983968e+02 9.935538e-01
1.993988e+02 9.936077e-01
2.004008e+02 9.936610e-01
2.014028e+02 9.937138e-01
2.024048e+02 9.937661e-01
2.034068e+02 9.938178e-01
2.044088e+02 9.938691e-01
2.054108e+02 9.939198e-01
2.064128e+02 9.939701e-01
2.074148e+02 9.940198e-01
2.084168e+02 9.940691e-01
2.094188e+02 9.941179e-01
2.104208e+02 9.941662e-01
2.114228e+02 9.942141e-01
2.124248e+02 9.942615e-01
2.134269e+02 9.943085e-01
2.144289e+02 9.943550e-01
2.154309e+02 9.944011e-01
2.164329e+02 9.944468e-01
2.174349e+02 9.944920e-01
2.184369e+02 9.945369e-01
2.194389e+02 9.945812e-01
2.204409e+02 9.946253e-01
2.214429e+02 9.946689e-01
2.224449e+02 9.947121e-01
2.234469e+02 9.947549e-01
2.244489e+02 9.947974e-01
2.254509e+02 9.948394e-01
2.264529e+02 9.948811e-01
2.274549e+02 9.949224e-01
2.284569e+02 9.949634e-01
2.294589e+02 9.950040e-01
2.304609e+02 9.950442e-01
2.314629e+02 9.950841e-01
2.324649e+02 9.951237e-01
2.334669e+02 9.951629e-01
2.344689e+02 9.952017e-01
2.354709e+02 9.952403e-01
2.364729e+02 9.952785e-01
2.374749e+02 9.953164e-01
2.384770e+02 9.953539e-01
2.394790e+02 9.953912e-01
2.404810e+02 9.954281e-01
2.414830e+02 9.954647e-01
2.424850e+02 9.955011e-01
2.434870e+02 9.955371e-01
2.444890e+02 9.955728e-01
2.454910e+02 9.956082e-01
2.464930e+02 9.956434e-01
2.474950e+02 9.956783e-01
2.484970e+02 9.957128e-01
2.494990e+02 9.957471e-01
2.505010e+02 9.957812e-01
2.515030e+02 9.958149e-01
2.525050e+02 9.958484e-01
2.535070e+02 9.958816e-01
2.545090e+02 9.959146e-01
2.555110e+02 9.959472e-01
2.565130e+02 9.959797e-01
2.575150e+02 9.960119e-01
2.585170e+02 9.960438e-01
2.595190e+02 9.960755e-01
2.605210e+02 9.961069e-01
2.615230e+02 9.961381e-01
2.625251e+02 9.961691e-01
2.635271e+02 9.961998e-01
2.645291e+02 9.962303e-01
2.655311e+02 9.962606e-01
2.665331e+02 9.962906e-01
2.675351e+02 9.963204e-01
2.685371e+02 9.963500e-01
2.695391e+02 9.963794e-01
2.705411e+02 9.964085e-01
2.715431e+02 9.964374e-01
2.725451e+02 9.964661e-01
2.735471e+02 9.964946e-01
2.745491e+02 9.965229e-01
2.755511e+02 9.965510e-01
2.765531e+02 9.965789e-01
2.775551e+02 9.966066e-01
2.785571e+02 9.966341e-01
2.795591e+02 9.966614e-01
2.805611e+02 9.966884e-01
2.815631e+02 9.967153e-01
2.825651e+02 9.967420e-01
2.835671e+02 9.967685e-01
2.845691e+02 9.967949e-01
2.855711e+02 9.968210e-01
2.865731e+02 9.968470e-01
2.875752e+02 9.968727e-01
2.885772e+02 9.968983e-01
2.895792e+02 9.969238e-01
2.905812e+02 9.969490e-01
2.915832e+02 9.969741e-01
2.925852e+02 9.969990e-01
2.935872e+02 9.970237e-01
2.945892e+02 9.970483e-01
2.955912e+02 9.970727e-01
2.965932e+02 9.970969e-01
2.975952e+02 9.971209e-01
2.985972e+02 9.971448e-01
2.995992e+02 9.971686e-01
3.006012e+02 9.971921e-01
3.016032e+02 9.972156e-01
3.026052e+02 9.972388e-01
3.036072e+02 9.972619e-01
3.046092e+02 9.972849e-01
