# Ea rad s(Ea,rad)
1.000000e+00 0.000000e+00 6.333828e-02
1.000000e+00 1.000000e+00 6.434313e-02
1.000000e+00 2.000000e+00 6.623891e-02
1.000000e+00 3.000000e+00 7.263071e-02
1.000000e+00 4.000000e+00 8.062115e-02
1.000000e+00 5.000000e+00 9.403428e-02
1.000000e+00 6.000000e+00 1.252901e-01
1.000000e+00 7.000000e+00 1.658836e-01
1.000000e+00 8.000000e+00 1.830283e-01
1.000000e+00 9.000000e+00 1.764373e-01
1.000000e+00 1.000000e+01 1.692256e-01
1.000000e+00 1.100000e+01 1.645455e-01
1.000000e+00 1.200000e+01 1.618015e-01
1.000000e+00 1.300000e+01 1.601232e-01
1.000000e+00 1.400000e+01 1.584750e-01
1.000000e+00 1.500000e+01 1.562858e-01
1.000000e+00 1.600000e+01 1.520205e-01
1.000000e+00 1.700000e+01 1.444363e-01
1.000000e+00 1.800000e+01 1.343968e-01
1.000000e+00 1.900000e+01 1.274623e-01
1.000000e+00 2.000000e+01 1.256521e-01
4.020202e+00 0.000000e+00 6.796626e-02
4.020202e+00 1.000000e+00 6.933386e-02
4.020202e+00 2.000000e+00 7.169690e-02
4.020202e+00 3.000000e+00 7.875328e-02
4.020202e+00 4.000000e+00 8.736618e-02
4.020202e+00 5.000000e+00 1.015105e-01
4.020202e+00 6.000000e+00 1.335593e-01
4.020202e+00 7.000000e+00 1.747178e-01
4.020202e+00 8.000000e+00 1.912954e-01
4.020202e+00 9.000000e+00 1.838091e-01
4.020202e+00 1.000000e+01 1.762403e-01
4.020202e+00 1.100000e+01 1.716074e-01
4.020202e+00 1.200000e+01 1.692122e-01
4.020202e+00 1.300000e+01 1.681117e-01
4.020202e+00 1.400000e+01 1.673057e-01
4.020202e+00 1.500000e+01 1.662498e-01
4.020202e+00 1.600000e+01 1.635530e-01
4.020202e+00 1.700000e+01 1.579602e-01
4.020202e+00 1.800000e+01 1.507478e-01
4.020202e+00 1.900000e+01 1.479395e-01
4.020202e+00 2.000000e+01 1.518189e-01
7.040404e+00 0.000000e+00 7.435502e-02
7.040404e+00 1.000000e+00 7.558635e-02
7.040404e+00 2.000000e+00 7.792410e-02
7.040404e+00 3.000000e+00 8.520023e-02
7.040404e+00 4.000000e+00 9.414536e-02
