# Ea rad s(Ea,rad)
1.000000e+00 0.000000e+00 9.557632e-03
1.000000e+00 1.000000e+00 9.669832e-03
1.000000e+00 2.000000e+00 9.860322e-03
1.000000e+00 3.000000e+00 1.061766e-02
1.000000e+00 4.000000e+00 1.147981e-02
1.000000e+00 5.000000e+00 1.282063e-02
1.000000e+00 6.000000e+00 1.512382e-02
1.000000e+00 7.000000e+00 1.704066e-02
1.000000e+00 8.000000e+00 1.575891e-02
1.000000e+00 9.000000e+00 1.368233e-02
1.000000e+00 1.000000e+01 1.225149e-02
1.000000e+00 1.100000e+01 1.117133e-02
1.000000e+00 1.200000e+01 1.021073e-02
1.000000e+00 1.300000e+01 9.220462e-03
1.000000e+00 1.400000e+01 8.226645e-03
1.000000e+00 1.500000e+01 6.889605e-03
1.000000e+00 1.600000e+01 5.594419e-03
1.000000e+00 1.700000e+01 4.192913e-03
1.000000e+00 1.800000e+01 3.132306e-03
1.000000e+00 1.900000e+01 2.321528e-03
1.000000e+00 2.000000e+01 1.980299e-03
4.020202e+00 0.000000e+00 1.027047e-02
4.020202e+00 1.000000e+00 1.045080e-02
4.020202e+00 2.000000e+00 1.070841e-02
4.020202e+00 3.000000e+00 1.153920e-02
4.020202e+00 4.000000e+00 1.245015e-02
4.020202e+00 5.000000e+00 1.383075e-02
4.020202e+00 6.000000e+00 1.612767e-02
4.020202e+00 7.000000e+00 1.797616e-02
4.020202e+00 8.000000e+00 1.651655e-02
4.020202e+00 9.000000e+00 1.431020e-02
4.020202e+00 1.000000e+01 1.281977e-02
4.020202e+00 1.100000e+01 1.171530e-02
4.020202e+00 1.200000e+01 1.074799e-02
4.020202e+00 1.300000e+01 9.755943e-03
4.020202e+00 1.400000e+01 8.767273e-03
4.020202e+00 1.500000e+01 7.417048e-03
4.020202e+00 1.600000e+01 6.112394e-03
4.020202e+00 1.700000e+01 4.679814e-03
4.020202e+00 1.800000e+01 3.611490e-03
4.020202e+00 1.900000e+01 2.802748e-03
4.020202e+00 2.000000e+01 2.537096e-03
7.040404e+00 0.000000e+00 1.122724e-02
7.040404e+00 1.000000e+00 1.136976e-02
7.040404e+00 2.000000e+00 1.160896e-02
7.040404e+00 3.000000e+00 1.245746e-02
7.040404e+00 4.000000e+00 1.339817e-02
7.040404e+00 5.000000e+00 1.482588e-02
7.040404e+00 6.000000e+00 1.718308e-02
7.040404e+00 7.000000e+00 1.897848e-02
7.040404e+00 8.000000e+00 1.733528e-02
7.040404e+00 9.000000e+00 1.499490e-02
7.040404e+00 1.000000e+01 1.344370e-02
7.040404e+00 1.100000e+01 1.231646e-02
7.040404e+00 1.200000e+01 1.134607e-02
7.040404e+00 1.300000e+01 1.035704e-02
7.040404e+00 1.400000e+01 9.379848e-03
7.040404e+00 1.500000e+01 8.021872e-03
7.040404e+00 1.600000e+01 6.714375e-03
7.040404e+00 1.700000e+01 5.254573e-03
7.040404e+00 1.800000e+01 4.188005e-03
7.040404e+00 1.900000e+01 3.394749e-03
7.040404e+00 2.000000e+01 3.237162e-03
1.006061e+01 0.000000e+00 1.215076e-02
1.006061e+01 1.000000e+00 1.231162e-02
1.006061e+01 2.000000e+00 1.257963e-02
1.006061e+01 3.000000e+00 1.347355e-02
1.006061e+01 4.000000e+00 1.444925e-02
1.006061e+01 5.000000e+00 1.591311e-02
1.006061e+01 6.000000e+00 1.829763e-02
1.006061e+01 7.000000e+00 2.004065e-02
1.006061e+01 8.000000e+00 1.821209e-02
1.006061e+01 9.000000e+00 1.573232e-02
1.006061e+01 1.000000e+01 1.411827e-02
1.006061e+01 1.100000e+01 1.296889e-02
1.006061e+01 1.200000e+01 1.199797e-02
1.006061e+01 1.300000e+01 1.101549e-02
1.006061e+01 1.400000e+01 1.005464e-02
1.006061e+01 1.500000e+01 8.693017e-03
1.006061e+01 1.600000e+01 7.387946e-03
1.006061e+01 1.700000e+01 5.904189e-03
1.006061e+01 1.800000e+01 4.847413e-03
1.006061e+01 1.900000e+01 4.079241e-03
1.006061e+01 2.000000e+01 4.050048e-03
1.308081e+01 0.000000e+00 1.318093e-02
1.308081e+01 1.000000e+00 1.336204e-02
1.308081e+01 2.000000e+00 1.364559e-02
1.308081e+01 3.000000e+00 1.456651e-02
1.308081e+01 4.000000e+00 1.556297e-02
1.308081e+01 5.000000e+00 1.705335e-02
1.308081e+01 6.000000e+00 1.946894e-02
1.308081e+01 7.000000e+00 2.116012e-02
1.308081e+01 8.000000e+00 1.913774e-02
1.308081e+01 9.000000e+00 1.651193e-02
1.308081e+01 1.000000e+01 1.483250e-02
1.308081e+01 1.100000e+01 1.366106e-02
1.308081e+01 1.200000e+01 1.269132e-02
1.308081e+01 1.300000e+01 1.171804e-02
1.308081e+01 1.400000e+01 1.077729e-02
1.308081e+01 1.500000e+01 9.415302e-03
1.308081e+01 1.600000e+01 8.116993e-03
1.308081e+01 1.700000e+01 6.612297e-03
1.308081e+01 1.800000e+01 5.571731e-03
1.308081e+01 1.900000e+01 4.834051e-03
1.308081e+01 2.000000e+01 4.941651e-03
1.610101e+01 0.000000e+00 1.430334e-02
1.610101e+01 1.000000e+00 1.448551e-02
1.610101e+01 2.000000e+00 1.477150e-02
1.610101e+01 3.000000e+00 1.571384e-02
1.610101e+01 4.000000e+00 1.673118e-02
1.610101e+01 5.000000e+00 1.825026e-02
1.610101e+01 6.000000e+00 2.069908e-02
1.610101e+01 7.000000e+00 2.232985e-02
1.610101e+01 8.000000e+00 2.010200e-02
1.610101e+01 9.000000e+00 1.732291e-02
1.610101e+01 1.000000e+01 1.557543e-02
1.610101e+01 1.100000e+01 1.438160e-02
1.610101e+01 1.200000e+01 1.341418e-02
1.610101e+01 1.300000e+01 1.245197e-02
1.610101e+01 1.400000e+01 1.153410e-02
1.610101e+01 1.500000e+01 1.017434e-02
1.610101e+01 1.600000e+01 8.886222e-03
1.610101e+01 1.700000e+01 7.363193e-03
1.610101e+01 1.800000e+01 6.343432e-03
1.610101e+01 1.900000e+01 5.637676e-03
1.610101e+01 2.000000e+01 5.880623e-03
1.912121e+01 0.000000e+00 1.548738e-02
1.912121e+01 1.000000e+00 1.566442e-02
1.912121e+01 2.000000e+00 1.595477e-02
1.912121e+01 3.000000e+00 1.692288e-02
1.912121e+01 4.000000e+00 1.796350e-02
1.912121e+01 5.000000e+00 1.951021e-02
1.912121e+01 6.000000e+00 2.198415e-02
1.912121e+01 7.000000e+00 2.354278e-02
1.912121e+01 8.000000e+00 2.109534e-02
1.912121e+01 9.000000e+00 1.815543e-02
1.912121e+01 1.000000e+01 1.633718e-02
1.912121e+01 1.100000e+01 1.512039e-02
1.912121e+01 1.200000e+01 1.415587e-02
1.912121e+01 1.300000e+01 1.320600e-02
1.912121e+01 1.400000e+01 1.231297e-02
1.912121e+01 1.500000e+01 1.095737e-02
1.912121e+01 1.600000e+01 9.682010e-03
1.912121e+01 1.700000e+01 8.142751e-03
1.912121e+01 1.800000e+01 7.146562e-03
1.912121e+01 1.900000e+01 6.470746e-03
1.912121e+01 2.000000e+01 6.840255e-03
2.214141e+01 0.000000e+00 1.672754e-02
2.214141e+01 1.000000e+00 1.690461e-02
2.214141e+01 2.000000e+00 1.720602e-02
2.214141e+01 3.000000e+00 1.820255e-02
2.214141e+01 4.000000e+00 1.926444e-02
2.214141e+01 5.000000e+00 2.083266e-02
2.214141e+01 6.000000e+00 2.331960e-02
2.214141e+01 7.000000e+00 2.479250e-02
2.214141e+01 8.000000e+00 2.210918e-02
2.214141e+01 9.000000e+00 1.900079e-02
2.214141e+01 1.000000e+01 1.710913e-02
2.214141e+01 1.100000e+01 1.586863e-02
2.214141e+01 1.200000e+01 1.490722e-02
2.214141e+01 1.300000e+01 1.397042e-02
