# Ea rad s(Ea,rad)
1.000000e+00 0.000000e+00 2.876104e-03
1.000000e+00 1.000000e+00 2.899769e-03
1.000000e+00 2.000000e+00 2.950881e-03
1.000000e+00 3.000000e+00 3.184963e-03
1.000000e+00 4.000000e+00 3.470836e-03
1.000000e+00 5.000000e+00 3.943628e-03
1.000000e+00 6.000000e+00 4.910317e-03
1.000000e+00 7.000000e+00 6.006764e-03
1.000000e+00 8.000000e+00 6.173187e-03
1.000000e+00 9.000000e+00 5.746985e-03
1.000000e+00 1.000000e+01 5.395828e-03
1.000000e+00 1.100000e+01 5.146856e-03
1.000000e+00 1.200000e+01 4.959132e-03
1.000000e+00 1.300000e+01 4.798079e-03
1.000000e+00 1.400000e+01 4.643429e-03
1.000000e+00 1.500000e+01 4.451938e-03
1.000000e+00 1.600000e+01 4.226954e-03
1.000000e+00 1.700000e+01 3.925734e-03
1.000000e+00 1.800000e+01 3.600594e-03
1.000000e+00 1.900000e+01 3.377821e-03
1.000000e+00 2.000000e+01 3.317444e-03
4.020202e+00 0.000000e+00 3.079399e-03
4.020202e+00 1.000000e+00 3.120538e-03
4.020202e+00 2.000000e+00 3.191678e-03
4.020202e+00 3.000000e+00 3.451495e-03
4.020202e+00 4.000000e+00 3.758346e-03
4.020202e+00 5.000000e+00 4.252298e-03
4.020202e+00 6.000000e+00 5.227751e-03
4.020202e+00 7.000000e+00 6.318778e-03
4.020202e+00 8.000000e+00 6.446112e-03
4.020202e+00 9.000000e+00 5.983137e-03
4.020202e+00 1.000000e+01 5.616384e-03
4.020202e+00 1.100000e+01 5.365090e-03
4.020202e+00 1.200000e+01 5.183912e-03
4.020202e+00 1.300000e+01 5.035400e-03
4.020202e+00 1.400000e+01 4.900358e-03
4.020202e+00 1.500000e+01 4.734396e-03
4.020202e+00 1.600000e+01 4.546548e-03
4.020202e+00 1.700000e+01 4.292587e-03
4.020202e+00 1.800000e+01 4.038084e-03
4.020202e+00 1.900000e+01 3.920154e-03
4.020202e+00 2.000000e+01 4.008301e-03
7.040404e+00 0.000000e+00 3.362220e-03
7.040404e+00 1.000000e+00 3.391275e-03
7.040404e+00 2.000000e+00 3.455159e-03
7.040404e+00 3.000000e+00 3.718438e-03
7.040404e+00 4.000000e+00 4.033950e-03
7.040404e+00 5.000000e+00 4.544331e-03
7.040404e+00 6.000000e+00 5.550179e-03
7.040404e+00 7.000000e+00 6.636263e-03
7.040404e+00 8.000000e+00 6.714834e-03
7.040404e+00 9.000000e+00 6.212122e-03
7.040404e+00 1.000000e+01 5.828457e-03
7.040404e+00 1.100000e+01 5.573911e-03
7.040404e+00 1.200000e+01 5.398326e-03
7.040404e+00 1.300000e+01 5.261148e-03
7.040404e+00 1.400000e+01 5.144324e-03
7.040404e+00 1.500000e+01 5.001530e-03
7.040404e+00 1.600000e+01 4.848358e-03
7.040404e+00 1.700000e+01 4.639072e-03
7.040404e+00 1.800000e+01 4.453613e-03
7.040404e+00 1.900000e+01 4.433323e-03
7.040404e+00 2.000000e+01 4.647135e-03
1.006061e+01 0.000000e+00 3.628088e-03
1.006061e+01 1.000000e+00 3.660054e-03
1.006061e+01 2.000000e+00 3.730923e-03
1.006061e+01 3.000000e+00 4.008040e-03
1.006061e+01 4.000000e+00 4.336163e-03
1.006061e+01 5.000000e+00 4.861429e-03
1.006061e+01 6.000000e+00 5.881568e-03
1.006061e+01 7.000000e+00 6.958441e-03
1.006061e+01 8.000000e+00 6.983193e-03
1.006061e+01 9.000000e+00 6.437493e-03
1.006061e+01 1.000000e+01 6.035474e-03
1.006061e+01 1.100000e+01 5.776697e-03
1.006061e+01 1.200000e+01 5.605731e-03
1.006061e+01 1.300000e+01 5.478666e-03
1.006061e+01 1.400000e+01 5.378620e-03
1.006061e+01 1.500000e+01 5.256573e-03
1.006061e+01 1.600000e+01 5.135332e-03
1.006061e+01 1.700000e+01 4.967439e-03
1.006061e+01 1.800000e+01 4.847646e-03
1.006061e+01 1.900000e+01 4.914645e-03
1.006061e+01 2.000000e+01 5.228078e-03
1.308081e+01 0.000000e+00 3.920999e-03
1.308081e+01 1.000000e+00 3.957590e-03
1.308081e+01 2.000000e+00 4.032798e-03
1.308081e+01 3.000000e+00 4.318999e-03
1.308081e+01 4.000000e+00 4.655034e-03
1.308081e+01 5.000000e+00 5.190476e-03
1.308081e+01 6.000000e+00 6.222246e-03
1.308081e+01 7.000000e+00 7.287220e-03
1.308081e+01 8.000000e+00 7.251472e-03
1.308081e+01 9.000000e+00 6.659766e-03
1.308081e+01 1.000000e+01 6.238064e-03
1.308081e+01 1.100000e+01 5.974141e-03
1.308081e+01 1.200000e+01 5.806877e-03
1.308081e+01 1.300000e+01 5.688786e-03
1.308081e+01 1.400000e+01 5.604147e-03
1.308081e+01 1.500000e+01 5.500581e-03
1.308081e+01 1.600000e+01 5.408572e-03
1.308081e+01 1.700000e+01 5.278610e-03
1.308081e+01 1.800000e+01 5.220149e-03
1.308081e+01 1.900000e+01 5.362696e-03
1.308081e+01 2.000000e+01 5.750204e-03
1.610101e+01 0.000000e+00 4.239454e-03
1.610101e+01 1.000000e+00 4.275444e-03
1.610101e+01 2.000000e+00 4.351017e-03
1.610101e+01 3.000000e+00 4.643853e-03
1.610101e+01 4.000000e+00 4.986895e-03
1.610101e+01 5.000000e+00 5.532147e-03
1.610101e+01 6.000000e+00 6.575215e-03
1.610101e+01 7.000000e+00 7.622104e-03
1.610101e+01 8.000000e+00 7.519530e-03
1.610101e+01 9.000000e+00 6.878953e-03
1.610101e+01 1.000000e+01 6.436349e-03
1.610101e+01 1.100000e+01 6.166446e-03
1.610101e+01 1.200000e+01 6.002036e-03
1.610101e+01 1.300000e+01 5.891863e-03
1.610101e+01 1.400000e+01 5.821342e-03
1.610101e+01 1.500000e+01 5.734166e-03
1.610101e+01 1.600000e+01 5.668786e-03
1.610101e+01 1.700000e+01 5.573250e-03
1.610101e+01 1.800000e+01 5.571178e-03
1.610101e+01 1.900000e+01 5.776944e-03
1.610101e+01 2.000000e+01 6.215045e-03
1.912121e+01 0.000000e+00 4.575093e-03
1.912121e+01 1.000000e+00 4.608301e-03
1.912121e+01 2.000000e+00 4.684184e-03
1.912121e+01 3.000000e+00 4.984321e-03
1.912121e+01 4.000000e+00 5.334750e-03
1.912121e+01 5.000000e+00 5.889400e-03
1.912121e+01 6.000000e+00 6.940364e-03
1.912121e+01 7.000000e+00 7.962703e-03
1.912121e+01 8.000000e+00 7.787013e-03
1.912121e+01 9.000000e+00 7.094852e-03
1.912121e+01 1.000000e+01 6.630250e-03
1.912121e+01 1.100000e+01 6.353611e-03
1.912121e+01 1.200000e+01 6.191272e-03
1.912121e+01 1.300000e+01 6.088041e-03
1.912121e+01 1.400000e+01 6.030422e-03
1.912121e+01 1.500000e+01 5.957703e-03
1.912121e+01 1.600000e+01 5.916453e-03
1.912121e+01 1.700000e+01 5.851852e-03
1.912121e+01 1.800000e+01 5.900806e-03
1.912121e+01 1.900000e+01 6.157413e-03
1.912121e+01 2.000000e+01 6.625388e-03
2.214141e+01 0.000000e+00 4.926173e-03
2.214141e+01 1.000000e+00 4.957635e-03
2.214141e+01 2.000000e+00 5.035368e-03
2.214141e+01 3.000000e+00 5.343407e-03
2.214141e+01 4.000000e+00 5.700708e-03
2.214141e+01 5.000000e+00 6.263100e-03
2.214141e+01 6.000000e+00 7.316987e-03
2.214141e+01 7.000000e+00 8.308694e-03
2.214141e+01 8.000000e+00 8.053445e-03
2.214141e+01 9.000000e+00 7.307167e-03
2.214141e+01 1.000000e+01 6.819590e-03
2.214141e+01 1.100000e+01 6.535534e-03
2.214141e+01 1.200000e+01 6.374540e-03
2.214141e+01 1.300000e+01 6.277343e-03
2.214141e+01 1.400000e+01 6.231471e-03
2.214141e+01 1.500000e+01 6.171420e-03
2.214141e+01 1.600000e+01 6.151895e-03
2.214141e+01 1.700000e+01 6.114774e-03
2.214141e+01 1.800000e+01 6.209129e-03
2.214141e+01 1.900000e+01 6.504541e-03
2.214141e+01 2.000000e+01 6.984670e-03
2.516162e+01 0.000000e+00 5.295287e-03
2.516162e+01 1.000000e+00 5.326708e-03
2.516162e+01 2.000000e+00 5.407110e-03
2.516162e+01 3.000000e+00 5.722448e-03
2.516162e+01 4.000000e+00 6.085183e-03
2.516162e+01 5.000000e+00 6.652954e-03
2.516162e+01 6.000000e+00 7.704707e-03
2.516162e+01 7.000000e+00 8.659642e-03
2.516162e+01 8.000000e+00 8.318295e-03
2.516162e+01 9.000000e+00 7.515560e-03
2.516162e+01 1.000000e+01 7.004148e-03
2.516162e+01 1.100000e+01 6.712060e-03
2.516162e+01 1.200000e+01 6.551736e-03
2.516162e+01 1.300000e+01 6.459721e-03
2.516162e+01 1.400000e+01 6.424493e-03
2.516162e+01 1.500000e+01 6.375440e-03
2.516162e+01 1.600000e+01 6.375325e-03
2.516162e+01 1.700000e+01 6.362287e-03
2.516162e+01 1.800000e+01 6.496293e-03
2.516162e+01 1.900000e+01 6.819098e-03
2.516162e+01 2.000000e+01 7.296624e-03
2.818182e+01 0.000000e+00 5.685562e-03
2.818182e+01 1.000000e+00 5.717674e-03
2.818182e+01 2.000000e+00 5.800377e-03
2.818182e+01 3.000000e+00 6.121570e-03
2.818182e+01 4.000000e+00 6.487923e-03
2.818182e+01 5.000000e+00 7.058536e-03
2.818182e+01 6.000000e+00 8.103371e-03
2.818182e+01 7.000000e+00 9.014991e-03
2.818182e+01 8.000000e+00 8.581017e-03
2.818182e+01 9.000000e+00 7.719680e-03
2.818182e+01 1.000000e+01 7.183683e-03
2.818182e+01 1.100000e+01 6.883012e-03
