# Ea rad s(Ea,rad)
1.000000e+00 0.000000e+00 1.371745e-02
1.000000e+00 1.000000e+00 1.389483e-02
1.000000e+00 2.000000e+00 1.418907e-02
1.000000e+00 3.000000e+00 1.530099e-02
1.000000e+00 4.000000e+00 1.656315e-02
1.000000e+00 5.000000e+00 1.851954e-02
1.000000e+00 6.000000e+00 2.190859e-02
1.000000e+00 7.000000e+00 2.476150e-02
1.000000e+00 8.000000e+00 2.293886e-02
1.000000e+00 9.000000e+00 1.991768e-02
1.000000e+00 1.000000e+01 1.783418e-02
1.000000e+00 1.100000e+01 1.626218e-02
1.000000e+00 1.200000e+01 1.486188e-02
1.000000e+00 1.300000e+01 1.341116e-02
1.000000e+00 1.400000e+01 1.194890e-02
1.000000e+00 1.500000e+01 9.965221e-03
1.000000e+00 1.600000e+01 8.035334e-03
1.000000e+00 1.700000e+01 5.938714e-03
1.000000e+00 1.800000e+01 4.353942e-03
1.000000e+00 1.900000e+01 3.132836e-03
1.000000e+00 2.000000e+01 2.609857e-03
4.020202e+00 0.000000e+00 1.474989e-02
4.020202e+00 1.000000e+00 1.502614e-02
4.020202e+00 2.000000e+00 1.541740e-02
4.020202e+00 3.000000e+00 1.663507e-02
4.020202e+00 4.000000e+00 1.796762e-02
4.020202e+00 5.000000e+00 1.998230e-02
4.020202e+00 6.000000e+00 2.337043e-02
4.020202e+00 7.000000e+00 2.613289e-02
4.020202e+00 8.000000e+00 2.405409e-02
4.020202e+00 9.000000e+00 2.084350e-02
4.020202e+00 1.000000e+01 1.867296e-02
4.020202e+00 1.100000e+01 1.706567e-02
4.020202e+00 1.200000e+01 1.565589e-02
4.020202e+00 1.300000e+01 1.420263e-02
4.020202e+00 1.400000e+01 1.274761e-02
4.020202e+00 1.500000e+01 1.074252e-02
4.020202e+00 1.600000e+01 8.795126e-03
4.020202e+00 1.700000e+01 6.645804e-03
4.020202e+00 1.800000e+01 5.040570e-03
4.020202e+00 1.900000e+01 3.808992e-03
4.020202e+00 2.000000e+01 3.383474e-03
7.040404e+00 0.000000e+00 1.612942e-02
7.040404e+00 1.000000e+00 1.635474e-02
7.040404e+00 2.000000e+00 1.672355e-02
7.040404e+00 3.000000e+00 1.797089e-02
7.040404e+00 4.000000e+00 1.934954e-02
7.040404e+00 5.000000e+00 2.143535e-02
7.040404e+00 6.000000e+00 2.491789e-02
7.040404e+00 7.000000e+00 2.761315e-02
7.040404e+00 8.000000e+00 2.527139e-02
7.040404e+00 9.000000e+00 2.186462e-02
7.040404e+00 1.000000e+01 1.960494e-02
7.040404e+00 1.100000e+01 1.796474e-02
7.040404e+00 1.200000e+01 1.655123e-02
7.040404e+00 1.300000e+01 1.510301e-02
7.040404e+00 1.400000e+01 1.366530e-02
7.040404e+00 1.500000e+01 1.164736e-02
7.040404e+00 1.600000e+01 9.692974e-03
7.040404e+00 1.700000e+01 7.496958e-03
7.040404e+00 1.800000e+01 5.886237e-03
7.040404e+00 1.900000e+01 4.666329e-03
7.040404e+00 2.000000e+01 4.393170e-03
1.006061e+01 0.000000e+00 1.746987e-02
1.006061e+01 1.000000e+00 1.772401e-02
1.006061e+01 2.000000e+00 1.813681e-02
1.006061e+01 3.000000e+00 1.945246e-02
1.006061e+01 4.000000e+00 2.088443e-02
1.006061e+01 5.000000e+00 2.302642e-02
1.006061e+01 6.000000e+00 2.656021e-02
1.006061e+01 7.000000e+00 2.919138e-02
1.006061e+01 8.000000e+00 2.658415e-02
1.006061e+01 9.000000e+00 2.297259e-02
1.006061e+01 1.000000e+01 2.062040e-02
1.006061e+01 1.100000e+01 1.894825e-02
1.006061e+01 1.200000e+01 1.753505e-02
1.006061e+01 1.300000e+01 1.609751e-02
1.006061e+01 1.400000e+01 1.468492e-02
1.006061e+01 1.500000e+01 1.266070e-02
1.006061e+01 1.600000e+01 1.070781e-02
1.006061e+01 1.700000e+01 8.470415e-03
1.006061e+01 1.800000e+01 6.867234e-03
1.006061e+01 1.900000e+01 5.675517e-03
1.006061e+01 2.000000e+01 5.590673e-03
1.308081e+01 0.000000e+00 1.896627e-02
1.308081e+01 1.000000e+00 1.925184e-02
1.308081e+01 2.000000e+00 1.969027e-02
1.308081e+01 3.000000e+00 2.104903e-02
1.308081e+01 4.000000e+00 2.251513e-02
1.308081e+01 5.000000e+00 2.470079e-02
1.308081e+01 6.000000e+00 2.829278e-02
1.308081e+01 7.000000e+00 3.086167e-02
1.308081e+01 8.000000e+00 2.797652e-02
1.308081e+01 9.000000e+00 2.414969e-02
1.308081e+01 1.000000e+01 2.170095e-02
1.308081e+01 1.100000e+01 1.999696e-02
1.308081e+01 1.200000e+01 1.858685e-02
1.308081e+01 1.300000e+01 1.716420e-02
1.308081e+01 1.400000e+01 1.578277e-02
1.308081e+01 1.500000e+01 1.375757e-02
1.308081e+01 1.600000e+01 1.181324e-02
1.308081e+01 1.700000e+01 9.539483e-03
1.308081e+01 1.800000e+01 7.954481e-03
1.308081e+01 1.900000e+01 6.801061e-03
1.308081e+01 2.000000e+01 6.921450e-03
1.610101e+01 0.000000e+00 2.059735e-02
1.610101e+01 1.000000e+00 2.088797e-02
1.610101e+01 2.000000e+00 2.133440e-02
1.610101e+01 3.000000e+00 2.272921e-02
1.610101e+01 4.000000e+00 2.423014e-02
1.610101e+01 5.000000e+00 2.646290e-02
1.610101e+01 6.000000e+00 3.011695e-02
1.610101e+01 7.000000e+00 3.261215e-02
1.610101e+01 8.000000e+00 2.943154e-02
1.610101e+01 9.000000e+00 2.537810e-02
1.610101e+01 1.000000e+01 2.282856e-02
1.610101e+01 1.100000e+01 2.109225e-02
1.610101e+01 1.200000e+01 1.968702e-02
1.610101e+01 1.300000e+01 1.828231e-02
1.610101e+01 1.400000e+01 1.693653e-02
1.610101e+01 1.500000e+01 1.491455e-02
1.610101e+01 1.600000e+01 1.298442e-02
1.610101e+01 1.700000e+01 1.067874e-02
1.610101e+01 1.800000e+01 9.119791e-03
1.610101e+01 1.900000e+01 8.008590e-03
1.610101e+01 2.000000e+01 8.335238e-03
1.912121e+01 0.000000e+00 2.232016e-02
1.912121e+01 1.000000e+00 2.260786e-02
1.912121e+01 2.000000e+00 2.306562e-02
1.912121e+01 3.000000e+00 2.450306e-02
1.912121e+01 4.000000e+00 2.604239e-02
1.912121e+01 5.000000e+00 2.832081e-02
1.912121e+01 6.000000e+00 3.202609e-02
1.912121e+01 7.000000e+00 3.443105e-02
1.912121e+01 8.000000e+00 3.093356e-02
1.912121e+01 9.000000e+00 2.664172e-02
1.912121e+01 1.000000e+01 2.398711e-02
1.912121e+01 1.100000e+01 2.221759e-02
1.912121e+01 1.200000e+01 2.081824e-02
1.912121e+01 1.300000e+01 1.943351e-02
1.912121e+01 1.400000e+01 1.812654e-02
1.912121e+01 1.500000e+01 1.611099e-02
1.912121e+01 1.600000e+01 1.419934e-02
1.912121e+01 1.700000e+01 1.186544e-02
1.912121e+01 1.800000e+01 1.033762e-02
1.912121e+01 1.900000e+01 9.267203e-03
1.912121e+01 2.000000e+01 9.789151e-03
2.214141e+01 0.000000e+00 2.412699e-02
2.214141e+01 1.000000e+00 2.441960e-02
2.214141e+01 2.000000e+00 2.489858e-02
2.214141e+01 3.000000e+00 2.638260e-02
2.214141e+01 4.000000e+00 2.795757e-02
2.214141e+01 5.000000e+00 3.027301e-02
2.214141e+01 6.000000e+00 3.401282e-02
2.214141e+01 7.000000e+00 3.630778e-02
2.214141e+01 8.000000e+00 3.246856e-02
2.214141e+01 9.000000e+00 2.792646e-02
2.214141e+01 1.000000e+01 2.516265e-02
2.214141e+01 1.100000e+01 2.335876e-02
2.214141e+01 1.200000e+01 2.196564e-02
2.214141e+01 1.300000e+01 2.060211e-02
2.214141e+01 1.400000e+01 1.933598e-02
2.214141e+01 1.500000e+01 1.732916e-02
2.214141e+01 1.600000e+01 1.543905e-02
2.214141e+01 1.700000e+01 1.307981e-02
