# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
2.e-6 1.e-1 1.05e-1 7.33553e31
2.e-6 1.e-1 1.105e0 1.82581e34
2.e-6 1.e-1 2.105e0 2.70923e34
2.e-6 1.e-1 3.105e0 3.6067e34
2.e-6 1.e-1 4.105e0 4.39767e34
2.e-6 1.e-1 5.105e0 5.07275e34
2.e-6 1.e-1 6.105e0 5.67868e34
2.e-6 1.e-1 7.105e0 6.0854e34
2.e-6 1.e-1 8.105e0 6.27971e34
2.e-6 1.e-1 9.105e0 6.62511e34
2.e-6 1.e-1 1.0105e1 6.77159e34
2.e-6 1.e-1 1.1105e1 6.83928e34
2.e-6 1.e-1 1.2105e1 6.87072e34
2.e-6 1.e-1 1.3105e1 6.85037e34
2.e-6 1.e-1 1.4105e1 6.78518e34
2.e-6 1.e-1 1.5105e1 6.68227e34
2.e-6 1.e-1 1.6105e1 6.57453e34
2.e-6 1.e-1 1.7105e1 6.38805e34
2.e-6 1.e-1 1.8105e1 6.18153e34
2.e-6 1.e-1 1.9105e1 5.95981e34
2.e-6 1.e-1 2.0105e1 5.72688e34
2.e-6 1.e-1 2.1105e1 5.48043e34
2.e-6 1.e-1 2.2105e1 5.24184e34
2.e-6 1.e-1 2.3105e1 5.00042e34
2.e-6 1.e-1 2.4105e1 4.75842e34
2.e-6 1.e-1 2.5105e1 4.51803e34
2.e-6 1.e-1 2.6105e1 4.2803e34
2.e-6 1.e-1 2.7105e1 4.04765e34
2.e-6 1.e-1 2.8105e1 3.82065e34
2.e-6 1.e-1 2.9105e1 3.60022e34
2.e-6 1.e-1 3.0105e1 3.38714e34
2.e-6 1.e-1 3.1105e1 3.18923e34
2.e-6 1.e-1 3.2105e1 2.98246e34
2.e-6 1.e-1 3.3105e1 2.786e34
2.e-6 1.e-1 3.4105e1 2.59837e34
2.e-6 1.e-1 3.5105e1 2.42055e34
2.e-6 1.e-1 3.6105e1 2.23316e34
2.e-6 1.e-1 3.7105e1 2.09322e34
2.e-6 1.e-1 3.8105e1 1.96136e34
2.e-6 1.e-1 3.9105e1 1.8361e34
2.e-6 1.e-1 4.0105e1 1.71821e34
2.e-6 1.e-1 4.1105e1 1.60846e34
2.e-6 1.e-1 4.2105e1 1.49832e34
2.e-6 1.e-1 4.3105e1 1.39434e34
2.e-6 1.e-1 4.4105e1 1.29561e34
2.e-6 1.e-1 4.5105e1 1.20367e34
2.e-6 1.e-1 4.6105e1 1.11629e34
2.e-6 1.e-1 4.7105e1 1.0372e34
2.e-6 1.e-1 4.8105e1 9.63392e33
2.e-6 1.e-1 4.9105e1 8.94248e33
2.e-6 1.e-1 5.0105e1 8.2919e33
2.e-6 1.e-1 5.1105e1 7.67633e33
2.e-6 1.e-1 5.2105e1 7.12189e33
2.e-6 1.e-1 5.3105e1 6.61295e33
2.e-6 1.e-1 5.4105e1 6.13501e33
2.e-6 1.e-1 5.5105e1 5.68579e33
2.e-6 1.e-1 5.6105e1 5.26432e33
2.e-6 1.e-1 5.7105e1 4.88414e33
2.e-6 1.e-1 5.8105e1 4.53125e33
2.e-6 1.e-1 5.9105e1 4.20282e33
2.e-6 1.e-1 6.0105e1 3.89422e33
2.e-6 1.e-1 6.1105e1 3.60605e33
2.e-6 1.e-1 6.2105e1 3.34578e33
2.e-6 1.e-1 6.3105e1 3.10506e33
2.e-6 1.e-1 6.4105e1 2.88122e33
2.e-6 1.e-1 6.5105e1 2.67034e33
2.e-6 1.e-1 6.6105e1 2.47376e33
2.e-6 1.e-1 6.7105e1 2.2972e33
2.e-6 1.e-1 6.8105e1 2.13363e33
2.e-6 1.e-1 6.9105e1 1.98107e33
2.e-6 1.e-1 7.0105e1 1.83786e33
2.e-6 1.e-1 7.1105e1 1.7045e33
2.e-6 1.e-1 7.2105e1 1.58462e33
2.e-6 1.e-1 7.3105e1 1.47409e33
2.e-6 1.e-1 7.4105e1 1.37158e33
2.e-6 1.e-1 7.5105e1 1.27434e33
2.e-6 1.e-1 7.6105e1 1.1844e33
2.e-6 1.e-1 7.7105e1 1.10285e33
2.e-6 1.e-1 7.8105e1 1.02695e33
2.e-6 1.e-1 7.9105e1 9.56045e32
2.e-6 1.e-1 8.0105e1 8.89751e32
2.e-6 1.e-1 8.1105e1 8.28085e32
2.e-6 1.e-1 8.2105e1 7.71695e32
2.e-6 1.e-1 8.3105e1 7.19329e32
2.e-6 1.e-1 8.4105e1 6.70429e32
2.e-6 1.e-1 8.5105e1 6.24449e32
2.e-6 1.e-1 8.6105e1 5.81705e32
2.e-6 1.e-1 8.7105e1 5.43118e32
2.e-6 1.e-1 8.8105e1 5.07396e32
2.e-6 1.e-1 8.9105e1 4.73636e32
2.e-6 1.e-1 9.0105e1 4.41996e32
2.e-6 1.e-1 9.1105e1 4.12514e32
2.e-6 1.e-1 9.2105e1 3.85812e32
2.e-6 1.e-1 9.3105e1 3.61059e32
2.e-6 1.e-1 9.4105e1 3.37854e32
2.e-6 1.e-1 9.5105e1 3.16087e32
2.e-6 1.e-1 9.6105e1 2.95808e32
2.e-6 1.e-1 9.7105e1 2.77267e32
2.e-6 1.e-1 9.8105e1 2.60052e32
2.e-6 1.e-1 9.9105e1 2.44899e32
2.e-6 1.e-1 1.00105e2 2.31068e32
2.e-6 1.e-1 1.01105e2 2.17955e32
2.e-6 1.e-1 1.02105e2 2.02615e32
2.e-6 1.e-1 1.03105e2 1.87294e32
2.e-6 1.e-1 1.04105e2 1.72286e32
2.e-6 1.e-1 1.05105e2 1.58346e32
2.e-6 1.e-1 1.06105e2 1.45605e32
2.e-6 1.e-1 1.07105e2 1.36088e32
2.e-6 1.e-1 1.08105e2 1.28074e32
2.e-6 1.e-1 1.09105e2 1.20535e32
2.e-6 1.e-1 1.10105e2 1.13473e32
2.e-6 1.e-1 1.11105e2 1.06841e32
2.e-6 1.e-1 1.12105e2 1.00703e32
2.e-6 1.e-1 1.13105e2 9.48989e31
2.e-6 1.e-1 1.14105e2 8.90919e31
2.e-6 1.e-1 1.15105e2 8.37264e31
2.e-6 1.e-1 1.16105e2 7.8586e31
2.e-6 1.e-1 1.17105e2 7.48766e31
2.e-6 1.e-1 1.18105e2 7.20472e31
2.e-6 1.e-1 1.19105e2 6.95537e31
2.e-6 1.e-1 1.20105e2 6.71617e31
2.e-6 1.e-1 1.21105e2 6.48543e31
2.e-6 1.e-1 1.22105e2 6.19455e31
2.e-6 1.e-1 1.23105e2 5.86774e31
2.e-6 1.e-1 1.24105e2 5.5567e31
2.e-6 1.e-1 1.25105e2 5.26498e31
2.e-6 1.e-1 1.26105e2 4.98891e31
2.e-6 1.e-1 1.27105e2 4.72879e31
2.e-6 1.e-1 1.28105e2 4.4831e31
2.e-6 1.e-1 1.29105e2 4.24993e31
2.e-6 1.e-1 1.30105e2 4.03126e31
2.e-6 1.e-1 1.31105e2 4.27832e31
2.e-6 1.e-1 1.32105e2 5.39016e31
2.e-6 1.e-1 1.33105e2 6.00334e31
2.e-6 1.e-1 1.34105e2 6.43611e31
2.e-6 1.e-1 1.35105e2 6.42769e31
2.e-6 1.e-1 1.36105e2 1.83739e31
2.e-6 1.e-1 1.37105e2 6.07486e30
2.e-6 1.e-1 1.38105e2 2.96844e30
2.e-6 1.e-1 1.39105e2 1.65316e30
2.e-6 1.e-1 1.40105e2 9.89744e29
2.e-6 1.e-1 1.41105e2 6.21376e29
2.e-6 1.e-1 1.42105e2 4.05781e29
2.e-6 1.e-1 1.43105e2 2.71429e29
2.e-6 1.e-1 1.44105e2 1.86485e29
2.e-6 1.e-1 1.45105e2 1.30834e29
2.e-6 1.e-1 1.46105e2 9.34662e28
2.e-6 1.e-1 1.47105e2 6.78602e28
2.e-6 1.e-1 1.48105e2 4.99665e28
2.e-6 1.e-1 1.49105e2 3.72541e28
2.e-6 1.e-1 1.50105e2 2.80834e28
2.e-6 1.e-1 1.51105e2 2.13868e28
2.e-6 1.e-1 1.52105e2 1.64395e28
2.e-6 1.e-1 1.53105e2 1.27418e28
2.e-6 1.e-1 1.54105e2 9.95223e27
2.e-6 1.e-1 1.55105e2 7.82966e27
2.e-6 1.e-1 1.56105e2 6.19967e27
2.e-6 1.e-1 1.57105e2 4.93786e27
2.e-6 1.e-1 1.58105e2 3.95533e27
2.e-6 1.e-1 1.59105e2 3.18375e27
2.e-6 1.e-1 1.60105e2 2.54584e27
2.e-6 1.e-1 1.61105e2 2.09118e27
2.e-6 1.e-1 1.62105e2 1.70557e27
2.e-6 1.e-1 1.63105e2 1.39628e27
2.e-6 1.e-1 1.64105e2 1.147e27
2.e-6 1.e-1 1.65105e2 9.45238e26
2.e-6 1.e-1 1.66105e2 7.81329e26
2.e-6 1.e-1 1.67105e2 6.47716e26
2.e-6 1.e-1 1.68105e2 5.38265e26
2.e-6 1.e-1 1.69105e2 4.48353e26
2.e-6 1.e-1 1.70105e2 3.74285e26
2.e-6 1.e-1 1.71105e2 3.13008e26
2.e-6 1.e-1 1.72105e2 2.62323e26
2.e-6 1.e-1 1.73105e2 2.20234e26
2.e-6 1.e-1 1.74105e2 1.85178e26
2.e-6 1.e-1 1.75105e2 1.56116e26
2.e-6 1.e-1 1.76105e2 1.31483e26
2.e-6 1.e-1 1.77105e2 1.11002e26
2.e-6 1.e-1 1.78105e2 9.38297e25
2.e-6 1.e-1 1.79105e2 7.93967e25
2.e-6 1.e-1 1.80105e2 6.72572e25
2.e-6 1.e-1 1.81105e2 5.70181e25
2.e-6 1.e-1 1.82105e2 4.83701e25
2.e-6 1.e-1 1.83105e2 4.10818e25
2.e-6 1.e-1 1.84105e2 3.4929e25
2.e-6 1.e-1 1.85105e2 2.96906e25
2.e-6 1.e-1 1.86105e2 2.52649e25
2.e-6 1.e-1 1.87105e2 2.15131e25
2.e-6 1.e-1 1.88105e2 1.83269e25
2.e-6 1.e-1 1.89105e2 1.5622e25
2.e-6 1.e-1 1.90105e2 1.33256e25
2.e-6 1.e-1 1.91105e2 1.25986e25
2.e-6 1.e-1 1.92105e2 9.70259e24
2.e-6 1.e-1 1.93105e2 8.28515e24
2.e-6 1.e-1 1.94105e2 7.07745e24
2.e-6 1.e-1 1.95105e2 6.04794e24
2.e-6 1.e-1 1.96105e2 5.16988e24
2.e-6 1.e-1 1.97105e2 4.42136e24
2.e-6 1.e-1 1.98105e2 3.78169e24
2.e-6 1.e-1 1.99105e2 3.23503e24
2.e-6 1.e0 1.05e0 1.43448e34
2.e-6 1.e0 2.05e0 2.13862e34
2.e-6 1.e0 3.05e0 3.23983e34
2.e-6 1.e0 4.05e0 4.13412e34
2.e-6 1.e0 5.05e0 4.87282e34
2.e-6 1.e0 6.05e0 5.52428e34
2.e-6 1.e0 7.05e0 5.96491e34
